venue_name,city,state,region,website,verification_status,meeting_space,lodging,airport_access,buyout_or_exclusive_use,ideal_for,why_it_made_shortlist
C Lazy U Ranch,Granby,CO,West,https://www.clazyu.com/,verified,"8,000+ sq ft meeting space; A/V-equipped Latigo Room; Hay Barn; breakout spaces","Luxury accommodations; three gourmet meals included; all-inclusive group rates mentioned","~2 hours west of Denver","Custom group retreat format; executive/corporate retreat positioning is explicit","executive_retreat|leadership_offsite","Strong direct corporate-retreat page, premium positioning, concrete planner details, and clear executive fit"
Gateway Canyons Resort & Spa,Gateway,CO,West,https://www.gatewaycanyons.com/,verified,"~8,778 sq ft total meeting space; 8 venues; largest indoor space up to 150","72 guest rooms including 14 casitas","59 miles / ~1 hour from Grand Junction Regional Airport","Group buyouts may be available depending on season and dates","executive_retreat|leadership_offsite|board_meeting","Direct, detailed retreat page with airport distance, room count, meeting inventory, and explicit executive-offsite fit"
Devil's Thumb Ranch,Tabernash,CO,West,https://www.devilsthumbranch.com/,verified,"Multiple meeting rooms; 4,200 sq ft High Lonesome Barn; smaller intimate rooms","Accommodations for 30-350","75 miles from Denver / accessible from DIA","Not explicitly stated in fetched text","executive_retreat|leadership_offsite","Very strong direct executive-retreat positioning, accessible mountain setting, clear capacity and venue options"
Anderson Lodge,Amboy,WA,West,https://www.andersonlodge.com/,verified,"Conference rooms, small meeting room options, meeting room with couch/table seating","Exclusive-use property; Main Lodge + Hilltop House; substantial bed inventory across rooms and cabins","Drive-in regional venue; exact airport data not surfaced in fetched text","One-group-at-a-time policy; exclusive use of whole facility and grounds","leadership_offsite|executive_retreat","Smaller-scale but highly usable private retreat venue with explicit exclusive-use policy and strong practical lodging details"
Sunrise Resort and Event Center,Garden City,UT,West,https://www.retreatbearlake.com/,verified,"Modern 6,000 sq ft event center; four event rooms; A/V and high-speed internet","19 bedrooms; sleeps up to 100; on-site accommodations plus nearby overflow options","~2 hours north of Salt Lake City airport","Appears group-oriented; exclusive use not explicitly confirmed in fetched text","executive_retreat|leadership_offsite|remote_team_offsite","Very clear corporate-retreat page, concrete capacity numbers, and strong planner-friendly details"
Salish Lodge & Spa,Snoqualmie,WA,West,https://www.salishlodge.com/,verified,"Flexible event spaces; groups up to 100; A/V support via Pinnacle Live","Luxurious accommodations; suite option for meetings of 8 or fewer","~30 minutes east of Seattle","Not explicit, but package-driven group planning is clear","executive_retreat|leadership_offsite|board_meeting","Strong executive-adjacent Pacific Northwest option with clear retreat package details and proximity to Seattle"
Willows Lodge,Woodinville,WA,West,https://www.willowslodge.com/,verified,"5,000+ sq ft across 7 meeting rooms; events up to 150; tech support and WiFi","Lodge accommodations on site","Near Seattle; exact airport distance not surfaced in fetched text","Not explicit in fetched text","executive_retreat|leadership_offsite","Practical high-quality venue close to Seattle with concrete room inventory and board-meeting-to-corporate-event suitability"
Brasada Ranch,Powell Butte,OR,West,https://www.brasada.com/,verified,"12,000+ sq ft of meeting and event venues; indoor and outdoor options","Resort accommodations implied by ranch resort positioning","Near Bend / Central Oregon; exact airport data not surfaced in fetched text","Not explicit in fetched text","executive_retreat|leadership_offsite|team_building","Very strong Oregon candidate with explicit executive-retreat positioning and substantial meeting inventory"
Carneros Resort and Spa,Napa,CA,West,https://www.carnerosresort.com/,verified,"38,000+ sq ft flexible indoor/outdoor venues; Napa Ballroom 3,276 sq ft / 210 guests; Hilltop venues for executive meetings","Resort lodging on 28-acre Napa property","Napa/Sonoma region; exact airport data not surfaced in fetched text","Not explicit in fetched text","executive_retreat|leadership_offsite|board_meeting","High-quality Napa executive option with direct meetings page and specific executive-meeting suitable spaces"
Ojai Valley Inn,Ojai,CA,West,https://www.ojaivalleyinn.com/,search_verified,"Search result indicates dedicated Executive Meetings department; meeting spaces include Garden Room, Libbey Boardroom, Nordhoff Room, and 3,600 sq ft Shangri-La pavilion","Luxury resort lodging strongly implied by property positioning","Southern California destination; exact airport data not surfaced","Not explicit","executive_retreat|leadership_offsite|board_meeting","Search evidence is strong enough to keep in near-launch set pending a cleaner direct fetch; explicit executive-retreat positioning"
Carmel Valley Ranch,Carmel,CA,West,https://carmelvalleyranch.com/,search_verified,"Search snippets indicate Valley Lawn for company gatherings plus dedicated meetings pages and brochure","Luxury resort lodging implied by ranch resort positioning","Monterey/Carmel area; exact airport data not surfaced","Not explicit","executive_retreat|leadership_offsite","Search evidence strongly supports corporate-meeting fit, but page extraction is too JS-heavy for full direct verification in current tooling"
Canyon Ranch Woodside,Woodside,CA,West,https://www.canyonranch.com/woodside/,search_verified,"Search evidence supports group/corporate retreat programming; group fitness and private group experiences surfaced","Guest room pages state groups can book the retreat; mid-week reserved exclusively for groups","Bay Area / Woodside location","Mid-week reserved exclusively for groups; intimate size supports group booking","executive_retreat|leadership_offsite|wellness_retreat","Very strong fit for executive wellness-oriented retreats, but direct extraction remains unreliable; keep as conditional shortlist item"
Amara Resort and Spa,Sedona,AZ,West,https://www.amararesort.com/,verified,"5,000+ sq ft of indoor and outdoor event space; poolside courtyard for up to 85 guests","Resort lodging on site implied by resort positioning","Sedona destination; exact airport data not surfaced","Not explicit in fetched text","executive_retreat|leadership_offsite","Direct events page with usable meeting details and clear retreat/event fit in Sedona"
Enchantment Resort,Sedona,AZ,West,https://www.enchantmentresort.com/,verified,"5,100 sq ft Anasazi Ballroom; 2,800 sq ft Agave Ballroom; 1,760 sq ft Ocotillo Ballroom; multiple boardrooms","Resort accommodations on 70-acre setting implied by resort positioning","Sedona destination; exact airport data not surfaced","Not explicit in fetched text","executive_retreat|leadership_offsite|board_meeting","Very strong direct corporate-events page with concrete capacities, boardrooms, and premium executive appeal"
Four Seasons Resort Scottsdale at Troon North,Scottsdale,AZ,West,https://www.fourseasons.com/scottsdale/,verified,"Three ballrooms, smaller breakout rooms, and two dedicated boardrooms for executive meetings","Casita-style accommodations and suites on site","Scottsdale destination; exact airport data not surfaced in fetched text","Search results indicate whole-resort takeover possible","executive_retreat|leadership_offsite|board_meeting","Direct meetings page plus search evidence of full-resort takeover make this a strong premium executive venue"
