venue_name,city,state,region,venue_type,setting,ideal_for,website,source_url,notes
Canyon Ranch Woodside,Woodside,CA,West,resort,forest,executive_retreat|leadership_offsite,https://www.canyonranch.com/woodside/,https://www.teamout.com/corporate-retreat/bay-area,"Redwoods setting; private buyout mentioned in secondary source; strong Bay Area executive angle"
Carneros Resort and Spa,Napa,CA,West,resort,vineyard,executive_retreat|leadership_offsite,https://www.carnerosresort.com/,https://gogocharters.com/blog/best-corporate-retreats-in-california/,"Napa positioning; cottages and homes useful for executive groups"
Carmel Valley Ranch,Carmel,CA,West,resort,rural,executive_retreat|leadership_offsite,https://carmelvalleyranch.com/,https://carmelvalleyranch.com/private-events/meetings/,"Corporate meetings landing page found; established California retreat property"
The Lodge at Torrey Pines,La Jolla,CA,West,hotel,coastal,executive_retreat|leadership_offsite,https://www.lodgetorreypines.com/,https://www.teamout.com/corporate-retreat/california,"High-end executive fit; meeting space cited in secondary source"
Stanly Ranch,Napa,CA,West,resort,vineyard,executive_retreat|leadership_offsite,https://aubergeresorts.com/stanlyranch/,https://www.offsite.com/blog/retreat-locations-in-california,"Luxury executive angle; mentioned in California retreat roundup"
The Ranch at Laguna Beach,Laguna Beach,CA,West,resort,coastal,executive_retreat|leadership_offsite,https://www.ranchlb.com/,https://www.offsite.com/blog/retreat-locations-in-california,"High-end SoCal option; executive-appropriate positioning"
Brasada Ranch,Powell Butte,OR,West,ranch,desert,executive_retreat|leadership_offsite,https://www.brasada.com/,https://www.monikerpartners.com/blog/corporate-retreats-oregon,"Strong Oregon executive retreat candidate; leadership-development framing in secondary source"
Salish Lodge and Spa,Snoqualmie,WA,West,lodge,mountain,executive_retreat|leadership_offsite,https://www.salishlodge.com/,https://www.theoffsiteco.com/news/corporate-retreat-centers-washington,"Leadership and strategy-session fit called out in secondary source"
Willows Lodge,Woodinville,WA,West,lodge,vineyard,executive_retreat|leadership_offsite,https://www.willowslodge.com/,https://www.seattletimes.com/explore/careers/corporate-getaways-11-resorts-for-your-next-seattle-area-company-retreat/,"Close to Seattle; multiple meeting venues per secondary source"
Anderson Lodge,Amboy,WA,West,lodge,forest,executive_retreat|leadership_offsite,https://www.andersonlodge.com/,https://www.andersonlodge.com/business-retreats/,"Dedicated business-retreat page; lodging and wireless internet mentioned"
Sunriver Resort,Sunriver,OR,West,resort,mountain,executive_retreat|leadership_offsite,https://www.sunriverresort.com/,https://www.teamout.com/corporate-retreat/seattle,"Well-known Northwest retreat property; suitable to verify directly next"
Skamania Lodge,Stevenson,WA,West,lodge,forest,executive_retreat|leadership_offsite,https://www.skamania.com/,https://www.teamout.com/corporate-retreat/seattle,"Pacific Northwest executive offsite fit; should verify meeting/lodging details directly"
C Lazy U Ranch,Granby,CO,West,ranch,mountain,executive_retreat|leadership_offsite,https://www.clazyu.com/,https://www.clazyu.com/corporate-retreats-meetings/,"Direct corporate retreat page; strong premium Colorado candidate"
Gateway Canyons Resort and Spa,Gateway,CO,West,resort,desert,executive_retreat|leadership_offsite,https://www.gatewaycanyons.com/,https://www.gatewaycanyons.com/colorado-corporate-retreats/,"Direct retreat page; multiple indoor/outdoor event spaces mentioned"
Devil's Thumb Ranch,Tabernash,CO,West,ranch,mountain,executive_retreat|leadership_offsite,https://www.devilsthumbranch.com/,https://www.devilsthumbranch.com/plan-an-event/corporate-meetings-retreats-venue/,"Direct corporate meetings page; strong visual and executive appeal"
Amangiri,Canyon Point,UT,West,resort,desert,executive_retreat|leadership_offsite,https://www.aman.com/resorts/amangiri,https://www.teamout.com/corporate-retreat/utah,"Ultra-premium executive fit; mentioned in Utah retreat roundup"
Sunrise Resort and Event Center,Garden City,UT,West,resort,lake,executive_retreat|leadership_offsite,https://www.retreatbearlake.com/,https://www.retreatbearlake.com/corporate-retreat,"Direct corporate retreat page; airport drive time referenced"
Amara Resort and Spa,Sedona,AZ,West,resort,desert,executive_retreat|leadership_offsite,https://www.amararesort.com/,https://www.teamout.com/,"Sedona executive retreat candidate; direct verification needed"
Enchantment Resort,Sedona,AZ,West,resort,desert,executive_retreat|leadership_offsite,https://www.enchantmentresort.com/,https://www.teamout.com/,"High-end Arizona retreat candidate for executive audience; verify via venue site"
Arizona Grand Resort and Spa,Phoenix,AZ,West,resort,urban,executive_retreat|leadership_offsite,https://www.arizonagrandresort.com/,https://www.teamout.com/,"Mentioned in competitor testimonial context; likely strong airport-access venue"
Auberge du Soleil,Rutherford,CA,West,hotel,vineyard,executive_retreat|leadership_offsite,https://aubergeresorts.com/aubergedusoleil/,https://www.offsite.com/blog/retreat-locations-in-california,"Executive Napa option; direct meetings validation needed"
Ojai Valley Inn,Ojai,CA,West,resort,rural,executive_retreat|leadership_offsite,https://www.ojaivalleyinn.com/,https://www.offsite.com/blog/retreat-locations-in-california,"Premium California executive venue candidate"
The Resort at Paws Up,Greenough,MT,West,resort,mountain,executive_retreat|leadership_offsite,https://www.pawsup.com/,https://www.theoffsiteco.com/news/executive-offsite-venues,"Premium western retreat angle; should verify corporate/offsite suitability directly"
Four Seasons Resort Scottsdale at Troon North,Scottsdale,AZ,West,resort,desert,executive_retreat|leadership_offsite,https://www.fourseasons.com/scottsdale/,https://www.teamout.com/,"Premium Scottsdale executive venue candidate; direct validation needed"
Sensei Porcupine Creek,Rancho Mirage,CA,West,resort,desert,executive_retreat|leadership_offsite,https://sensei.com/porcupine-creek,https://www.offsite.com/blog/retreat-locations-in-california,"Wellness-luxury executive retreat angle; likely suitable for leadership offsites"
